,id,date_created,no_of_likes,no_of_reply,source,tweets,url,username,location
1309,1558888877716283392,2022-08-14 18:50:45+00:00,48,4,Echobox,Senate knocks NSITF over misappropriation of N17.2bn - Punch Newspapers https://t.co/Rw7uh57KCE,https://twitter.com/MobilePunch/status/1558888877716283392,MobilePunch,"Lagos, Nigeria"
1310,1558886141541040128,2022-08-14 18:39:53+00:00,112,17,Echobox,Obiano's wife unveils campaign team for senatorial race https://t.co/avqN8D86ks,https://twitter.com/MobilePunch/status/1558886141541040128,MobilePunch,"Lagos, Nigeria"
1311,1558883414266241024,2022-08-14 18:29:03+00:00,305,10,Echobox,"OBIdient movement helping our mission, says Peter Obi https://t.co/lG3K2Sothr",https://twitter.com/MobilePunch/status/1558883414266241024,MobilePunch,"Lagos, Nigeria"
1312,1558876228785999872,2022-08-14 18:00:30+00:00,46,12,Echobox,"Sack security adviser, northern group tells Buhari https://t.co/6Bmm4XqVf2",https://twitter.com/MobilePunch/status/1558876228785999872,MobilePunch,"Lagos, Nigeria"
1313,1558873272611110919,2022-08-14 17:48:45+00:00,47,4,Echobox,Enugu APC gov candidate unveils running mate - Punch Newspapers https://t.co/X4SdWBuDcV,https://twitter.com/MobilePunch/status/1558873272611110919,MobilePunch,"Lagos, Nigeria"
1314,1558864547376766977,2022-08-14 17:14:05+00:00,46,5,Echobox,FG's approach to economy unproductive - Gani Adams https://t.co/ugcvQoWF91,https://twitter.com/MobilePunch/status/1558864547376766977,MobilePunch,"Lagos, Nigeria"
1315,1558859076657889283,2022-08-14 16:52:20+00:00,53,11,Echobox,"Gunmen kidnap Catholic priest, seminarian, demand N50m ransom https://t.co/kCYtZ3VEyN",https://twitter.com/MobilePunch/status/1558859076657889283,MobilePunch,"Lagos, Nigeria"
1316,1558852628062281734,2022-08-14 16:26:43+00:00,57,8,Echobox,"Don't make us suffer, Ekiti pensioners tell Oyebanji https://t.co/foyxCg7cUy",https://twitter.com/MobilePunch/status/1558852628062281734,MobilePunch,"Lagos, Nigeria"
1317,1558849661527523328,2022-08-14 16:14:55+00:00,43,3,Echobox,"Ondo court remands seven for kidnapping, murder, robbery - Punch Newspapers https://t.co/CpDAGQFcAt",https://twitter.com/MobilePunch/status/1558849661527523328,MobilePunch,"Lagos, Nigeria"
1318,1558839248899522568,2022-08-14 15:33:33+00:00,62,2,Echobox,Shettima in Katsina for 'social visit' - Punch Newspapers https://t.co/ndENL6MMD9,https://twitter.com/MobilePunch/status/1558839248899522568,MobilePunch,"Lagos, Nigeria"
1319,1558836307199234049,2022-08-14 15:21:52+00:00,48,2,Echobox,"Save Niger Delta commission, group tells Buhari, others https://t.co/24JetkrzAd",https://twitter.com/MobilePunch/status/1558836307199234049,MobilePunch,"Lagos, Nigeria"
