,id,date_created,no_of_likes,no_of_reply,source,tweets,url,username,location
376,1348156962861670402,2021-01-10 06:37:22+00:00,1188,79,Twitter for iPhone,"I celebrate you, my brother, Governor Aminu Tambuwal on your 55th birthday. This is wishing you more strength and God’s blessings in the service of the great people of Sokoto State. -PO https://t.co/UpBUcPDJZP",https://twitter.com/PeterObi/status/1348156962861670402,PeterObi,Nigeria
377,1347066345226178560,2021-01-07 06:23:38+00:00,952,78,Twitter for iPhone,It is about sacrificing self for all and accepting criticisms and other opinions. Let's resolve to build a better Nigeria for all. -PO.,https://twitter.com/PeterObi/status/1347066345226178560,PeterObi,Nigeria
378,1347066343141617669,2021-01-07 06:23:38+00:00,4744,446,Twitter for iPhone,"Recent happenings in the USA will make us see what bad leadership can do. Good Leadership is all about being good, consistent and exemplary in Character, Behaviour, Humility, Integrity, Capacity, Competence, and Discipline.",https://twitter.com/PeterObi/status/1347066343141617669,PeterObi,Nigeria
379,1345031685268791296,2021-01-01 15:38:37+00:00,2567,150,Twitter for iPhone,"Happy New Year, Nigeria. https://t.co/bRDyoxit3Y",https://twitter.com/PeterObi/status/1345031685268791296,PeterObi,Nigeria
380,1342490657508753408,2020-12-25 15:21:29+00:00,2319,158,Twitter for iPhone,"Merry Christmas, Nigeria! https://t.co/VWQHaFeigx",https://twitter.com/PeterObi/status/1342490657508753408,PeterObi,Nigeria
381,1342446704788971526,2020-12-25 12:26:50+00:00,171,16,Twitter for iPhone,"May Allah Almighty who called him home, forgive his sins and grant him eternal rest and also the family the fortitude to bear his irreplaceable loss. May Allah Almighty continue to protect, bless you, and your family always. -PO",https://twitter.com/PeterObi/status/1342446704788971526,PeterObi,Nigeria
382,1342446703035748352,2020-12-25 12:26:50+00:00,764,33,Twitter for iPhone,"Your Excellency, and my very dear elder brother, Sen. Rabiu Kwankwaso, I just read the sad news of your father's death. 

On behalf of my family, I sincerely condole you, and your family on the death of your beloved father.",https://twitter.com/PeterObi/status/1342446703035748352,PeterObi,Nigeria
383,1340411036751568896,2020-12-19 21:37:49+00:00,685,40,Twitter for iPhone,"I did not reply to Shehu Sani as suggested in this report. I am not related to, or connected with the owner of the Twitter account being quoted. Moreover, I do not discuss individuals but issues. The tweet should be seen for what it is: mischief. -PO

https://t.co/85TxnAWuCf",https://twitter.com/PeterObi/status/1340411036751568896,PeterObi,Nigeria
384,1340279378048069632,2020-12-19 12:54:39+00:00,689,26,Twitter for iPhone,"YE, &amp; my dear brother,  @bukolasaraki, on behalf of my family, I congratulate you today on your birthday sincerely. May God Almighty who had been with you all these while, grant you more healthy, and happy years; and continue to protect, bless you, and your family always. -PO",https://twitter.com/PeterObi/status/1340279378048069632,PeterObi,Nigeria
385,1339864557666365445,2020-12-18 09:26:18+00:00,266,14,Twitter for iPhone,"There are lessons to be learnt from this unfortunate incident, and one of them is the compelling need to rejig our security architecture. -PO",https://twitter.com/PeterObi/status/1339864557666365445,PeterObi,Nigeria
386,1339864555351097345,2020-12-18 09:26:18+00:00,1170,165,Twitter for iPhone,I am elated at the release of the GSSS Kankara schoolboys. It is a huge relief not only for their families but also for Nigerians. Everyone involved in the process that led to their release deserves commendation.,https://twitter.com/PeterObi/status/1339864555351097345,PeterObi,Nigeria
387,1338188518909243400,2020-12-13 18:26:19+00:00,182,4,Twitter for iPhone,My thoughts and prayers are with you. My earnest prayer is for their safety and quick rescue. -PO,https://twitter.com/PeterObi/status/1338188518909243400,PeterObi,Nigeria
